alpha_snorna,alpha_disease,k_snorna,k_disease,association_weight,mean_auc,std_auc,mean_aupr,std_aupr
0.3,0.3,10,10,0.5,0.8987590401051939,0.008363501562899799,0.9007455834228221,0.007171639346376335
0.3,0.3,10,10,0.8,0.9015121630506245,0.011789015161734619,0.9023655045479873,0.015113315664985512
0.3,0.3,10,10,1.0,0.9030736357659436,0.013111086565876725,0.9031705800235587,0.01898811818226778
0.3,0.3,10,20,0.5,0.9006656804733728,0.026097018078424374,0.898358257960267,0.037106371854344414
0.3,0.3,10,20,0.8,0.8965154503616042,0.013984639735664097,0.899067304953873,0.015826571294334606
0.3,0.3,10,20,1.0,0.8977892833662064,0.014235271200677217,0.903204654394685,0.01259856559344904
0.3,0.3,10,30,0.5,0.890294214332676,0.009755631893927854,0.8790902776587004,0.021940267570629588
0.3,0.3,10,30,0.8,0.8913214990138068,0.01632368792481673,0.8877878542570284,0.020568855197168223
0.3,0.3,10,30,1.0,0.899835634451019,0.021097866085243656,0.8969767102699441,0.028776179681704622
0.3,0.3,20,10,0.5,0.9056788297172913,0.014284363902635185,0.9035561211222994,0.01752030448618082
0.3,0.3,20,10,0.8,0.897337278106509,0.01251440475409694,0.8922375586419928,0.018194720941691743
0.3,0.3,20,10,1.0,0.8986850756081525,0.028832390215969693,0.8960248249733691,0.037979173522973725
0.3,0.3,20,20,0.5,0.9210963182117029,0.019612043994353123,0.917951711137641,0.027453315107526882
0.3,0.3,20,20,0.8,0.8891847468770546,0.017240006966981105,0.8782950630042652,0.03006449863240652
0.3,0.3,20,20,1.0,0.8995397764628533,0.0060506506110452225,0.8888772481703207,0.017174694082642807
0.3,0.3,20,30,0.5,0.9048323471400396,0.013804406761979693,0.9007654210438689,0.01679213067135234
0.3,0.3,20,30,0.8,0.9025723208415517,0.0037536931643329797,0.8983832216998454,0.013038128617900217
0.3,0.3,20,30,1.0,0.882421104536489,0.020822017566267222,0.8832752116810083,0.018268975906825673
0.3,0.3,30,10,0.5,0.9032051282051281,0.015569257128720508,0.9031726374964102,0.015343207332226567
0.3,0.3,30,10,0.8,0.8930966469428009,0.02231825427823782,0.8935284349756223,0.020366067290370975
0.3,0.3,30,10,1.0,0.8972550953320184,0.014024764366572934,0.8960348816399829,0.030377787139826227
0.3,0.3,30,20,0.5,0.8994411571334648,0.017275014683884475,0.8942018938966768,0.018546665885310096
0.3,0.3,30,20,0.8,0.9040023011176856,0.019137709139659963,0.9117921601077364,0.019406910437101434
0.3,0.3,30,20,1.0,0.8877629848783697,0.01447872041565078,0.888026526157832,0.026889237525441558
0.3,0.3,30,30,0.5,0.9076183431952662,0.01680012510512568,0.9072734960218346,0.024758817979370244
0.3,0.3,30,30,0.8,0.8920529257067719,0.015734449674175543,0.8785904202917468,0.01800485105249228
0.3,0.3,30,30,1.0,0.8897600262984879,0.024540819550916734,0.882231039753741,0.03268197397274007
0.3,0.5,10,10,0.5,0.8945184089414859,0.018178952322282806,0.8883799310774372,0.027523080543822964
0.3,0.5,10,10,0.8,0.8988083497698882,0.013549360154257768,0.8972065625460737,0.02028634460704147
0.3,0.5,10,10,1.0,0.8889875082182774,0.006685183540873934,0.8790566101192839,0.0142417197542863
0.3,0.5,10,20,0.5,0.9127218934911243,0.01449525695640156,0.9107252495180285,0.01748781837799113
0.3,0.5,10,20,0.8,0.9070266272189349,0.017374527006756436,0.9027077638002391,0.027277465368051035
0.3,0.5,10,20,1.0,0.8931541748849441,0.027455288416224913,0.8850467453278135,0.032407592388286985
0.3,0.5,10,30,0.5,0.902095660749507,0.016935427290749833,0.895661213836281,0.015229697071662893
0.3,0.5,10,30,0.8,0.9005752794214332,0.018692879896039766,0.8925430269415552,0.016215667389624728
0.3,0.5,10,30,1.0,0.866904996712689,0.022638647100725835,0.8512419650064711,0.032137425069137714
0.3,0.5,20,10,0.5,0.9056623931623932,0.01126405993376126,0.9036375691959154,0.010771601430836763
0.3,0.5,20,10,0.8,0.8977646285338592,0.01573165930344484,0.8966051222008968,0.02052653010926098
0.3,0.5,20,10,1.0,0.9002876397107167,0.03220234885650363,0.9035166566353909,0.02898451263648402
0.3,0.5,20,20,0.5,0.8991617357001973,0.013980060534082635,0.9020818057680519,0.007610833924534373
0.3,0.5,20,20,0.8,0.8918063773833005,0.013705317517324693,0.8944444576108441,0.009315668280089649
0.3,0.5,20,20,1.0,0.8945759368836292,0.0161787098024003,0.895909998146047,0.017891195816210965
0.3,0.5,20,30,0.5,0.8939102564102563,0.02470483642738127,0.8908372065554927,0.026046963927331513
0.3,0.5,20,30,0.8,0.8895463510848126,0.017988361974881614,0.8875391284574606,0.01688865026375746
0.3,0.5,20,30,1.0,0.8956360946745564,0.017047734529840458,0.8947916727128759,0.02667794501683868
0.3,0.5,30,10,0.5,0.9030982905982906,0.018921276977032834,0.9041985217244275,0.017310497997248292
0.3,0.5,30,10,0.8,0.8920611439842208,0.017548945661349572,0.8814378067439907,0.02003644905746086
0.3,0.5,30,10,1.0,0.9010355029585799,0.020678492582916652,0.8999600430346456,0.02386732984328
0.3,0.5,30,20,0.5,0.902128533859303,0.012638054128225823,0.9000276254839112,0.01924507637086284
0.3,0.5,30,20,0.8,0.8995479947403024,0.016419505457212717,0.9010337074536269,0.01779157406830414
0.3,0.5,30,20,1.0,0.8974605522682445,0.008064496459592773,0.8981090633658925,0.0022045686523923854
0.3,0.5,30,30,0.5,0.8928829717291256,0.006356421898215544,0.8867140072500226,0.005415623242737721
0.3,0.5,30,30,0.8,0.9049884944115714,0.018809883120317072,0.9042874739070996,0.020717248334043824
0.3,0.5,30,30,1.0,0.8960716633793556,0.01407305086858907,0.8908109515533491,0.02022286098380815
0.3,0.7,10,10,0.5,0.8832429322813938,0.010593248056481562,0.8828990939431189,0.013148352356448718
0.3,0.7,10,10,0.8,0.8983645627876399,0.012963368197134334,0.8893396913396294,0.021602489370248175
0.3,0.7,10,10,1.0,0.8918145956607495,0.014748211227713692,0.8840891053534301,0.025723381317082423
0.3,0.7,10,20,0.5,0.8959648257725179,0.01336513778179377,0.8938680476219705,0.014637902379315913
0.3,0.7,10,20,0.8,0.8969756738987508,0.014619514058400762,0.8923009269594958,0.021028831085006104
0.3,0.7,10,20,1.0,0.9022928994082839,0.01563217907742225,0.9003462750451442,0.02101832048431902
0.3,0.7,10,30,0.5,0.8951101249178173,0.017672212807666173,0.896289689962687,0.016929488893696273
0.3,0.7,10,30,0.8,0.8945266272189348,0.015231406096707055,0.8892115478095466,0.019222376489397484
0.3,0.7,10,30,1.0,0.8950443786982246,0.011290890369942587,0.8953672027369413,0.019696489414647286
0.3,0.7,20,10,0.5,0.9004026955950033,0.010754909000549897,0.8934553797963822,0.022666094631393664
0.3,0.7,20,10,0.8,0.8963428665351743,0.0285650300722432,0.8838066830450778,0.04199650879868035
0.3,0.7,20,10,1.0,0.8975509533201842,0.007242228480961284,0.8842515148108223,0.01836555218268041
0.3,0.7,20,20,0.5,0.9115795529257067,0.018084718671689485,0.9069193335599589,0.0188729915874299
0.3,0.7,20,20,0.8,0.898611111111111,0.023715058191289728,0.8931149945756773,0.027909356034748926
0.3,0.7,20,20,1.0,0.8976166995397765,0.012732247068297595,0.8919361206127057,0.021326063600585435
0.3,0.7,20,30,0.5,0.8922748191978961,0.024716305130227708,0.883791544464471,0.0407518711223226
0.3,0.7,20,30,0.8,0.8941403681788298,0.015861220120290495,0.886516955013777,0.027483857165851368
0.3,0.7,20,30,1.0,0.9000082182774491,0.007476582143748339,0.8930159088102853,0.012835293841895712
0.3,0.7,30,10,0.5,0.9105522682445759,0.02150626640702454,0.9083878908540406,0.03222113403230981
0.3,0.7,30,10,0.8,0.8904174884944116,0.012594289649313802,0.8787424215081959,0.020044896327435984
0.3,0.7,30,10,1.0,0.9090976331360947,0.004414400895051892,0.9133042892766501,0.00620276680071569
