,Symbol,DO_ID,score
0,SNORA11E,DOID:0050745,0.328976
1,SNORA13,DOID:0050745,0.328976
2,SNORA15,DOID:0050745,0.328976
3,SNORA16B,DOID:0050745,0.328976
4,SNORA21,DOID:0050745,0.328976
5,SNORA22,DOID:0050745,0.328976
6,SNORA23,DOID:0050745,0.328976
7,SNORA27,DOID:0050745,0.328976
8,SNORA29,DOID:0050745,0.328976
9,SNORA32,DOID:0050745,0.328976
10,SNORA33,DOID:0050745,0.328976
11,SNORA35,DOID:0050745,0.328976
12,SNORA36A,DOID:0050745,0.328976
13,SNORA36C,DOID:0050745,0.328976
14,SNORA37,DOID:0050745,0.328976
15,SNORA3A,DOID:0050745,0.328976
16,SNORA3B,DOID:0050745,0.328976
17,SNORA4,DOID:0050745,0.328976
18,SNORA40,DOID:0050745,0.328976
19,SNORA41,DOID:0050745,0.328976
20,SNORA44,DOID:0050745,0.328976
21,SNORA46,DOID:0050745,0.328976
22,SNORA48,DOID:0050745,0.328976
23,SNORA49,DOID:0050745,0.328976
24,SNORA52,DOID:0050745,0.328976
25,SNORA54,DOID:0050745,0.328976
26,SNORA55,DOID:0050745,0.328976
27,SNORA56,DOID:0050745,0.328976
28,SNORA58,DOID:0050745,0.328976
29,SNORA59B,DOID:0050745,0.328976
30,SNORA5A,DOID:0050745,0.328976
31,SNORA5B,DOID:0050745,0.328976
32,SNORA60,DOID:0050745,0.328976
33,SNORA61,DOID:0050745,0.328976
34,SNORA62,DOID:0050745,0.328976
35,SNORA64,DOID:0050745,0.328976
36,SNORA67,DOID:0050745,0.328976
37,SNORA69,DOID:0050745,0.328976
38,SNORA70C,DOID:0050745,0.328976
39,SNORA70D,DOID:0050745,0.328976
40,SNORA70E,DOID:0050745,0.328976
41,SNORA70F,DOID:0050745,0.328976
42,SNORA71A,DOID:0050745,0.328976
43,SNORA71C,DOID:0050745,0.328976
44,SNORA71D,DOID:0050745,0.328976
45,SNORA73A,DOID:0050745,0.328976
46,SNORA74A,DOID:0050745,0.328976
47,SNORA7B,DOID:0050745,0.328976
48,SNORA9,DOID:0050745,0.328976
49,ENSG00000207118,DOID:0050866,0.328976
50,ENSG00000263442,DOID:0050866,0.328976
51,SNORA17A,DOID:0050866,0.328976
52,SNORD118,DOID:0050866,0.328976
53,SNORD18A,DOID:0050866,0.328976
54,SNORD28,DOID:0050866,0.328976
55,SNORD4A,DOID:0050866,0.328976
56,SNORD96B,DOID:0050894,0.635617
57,RNU105B,DOID:0060041,0.328976
58,SNORD112,DOID:0060318,0.328976
59,SNORD112-114,DOID:0060318,0.694506
60,SNORD113,DOID:0060318,0.328976
61,SNORD-114,DOID:0060318,0.328976
62,SNORD114-1,DOID:0060318,0.968971
63,SNORD102,DOID:0060669,0.328976
64,SNORD105B,DOID:0060669,0.328976
65,SNORD110,DOID:0060669,0.328976
66,SNORD113-3,DOID:0060669,0.994838
67,SNORD113-6,DOID:0060669,0.328976
68,SNORD113-7,DOID:0060669,0.328976
69,SNORD113-8,DOID:0060669,0.328976
70,SNORD113-9,DOID:0060669,0.328976
71,SNORD114-1,DOID:0060669,0.328976
72,SNORD114-12,DOID:0060669,0.328976
73,SNORD114-22,DOID:0060669,0.994838
74,SNORD114-23,DOID:0060669,0.328976
75,SNORD114-26,DOID:0060669,0.328976
76,SNORD115-10,DOID:0060669,0.328976
77,SNORD115-15,DOID:0060669,0.328976
78,SNORD115-16,DOID:0060669,0.328976
79,SNORD115-21,DOID:0060669,0.328976
80,SNORD115-23,DOID:0060669,0.328976
81,SNORD115-32,DOID:0060669,0.994838
82,SNORD115-33,DOID:0060669,0.328976
83,SNORD115-40,DOID:0060669,0.328976
84,SNORD115-42,DOID:0060669,0.328976
85,SNORD115-8,DOID:0060669,0.328976
86,SNORD116-15,DOID:0060669,0.328976
87,SNORD116-21,DOID:0060669,0.328976
88,SNORD116-24,DOID:0060669,0.328976
89,SNORD116-29,DOID:0060669,0.328976
90,SNORD15A,DOID:0060669,0.328976
91,SNORD32A,DOID:0060669,0.328976
92,SNORD36B,DOID:0060669,0.328976
93,SNORD37,DOID:0060669,0.328976
94,SNORD42A,DOID:0060669,0.328976
95,SNORD42B,DOID:0060669,0.328976
96,SNORD52,DOID:0060669,0.328976
97,SNORD59A,DOID:0060669,0.328976
98,SNORD6,DOID:0060669,0.328976
99,SNORD60,DOID:0060669,0.328976
100,SNORD61,DOID:0060669,0.328976
101,SNORD64,DOID:0060669,0.328976
102,SNORD68,DOID:0060669,0.328976
103,SNORD69,DOID:0060669,0.328976
104,SNORD83B,DOID:0060669,0.328976
105,Snord90,DOID:0060669,0.328976
106,SNORD93,DOID:0060669,0.328976
107,SNORA11B,DOID:0080600,0.328976
108,SNORA71B,DOID:10283,1
109,SNORD117,DOID:10283,0.694506
110,SNORD15B,DOID:10283,0.328976
111,SNORD22,DOID:10283,0.328976
112,SNORD33,DOID:10283,0.694506
113,SNORD3A,DOID:10283,0.90146
114,SNORD50,DOID:10283,0.328976
115,SNORD59A,DOID:10283,0.694506
116,SNORD68,DOID:10283,0.694506
117,SNORD78,DOID:10283,0.694506
118,SNORD82,DOID:10283,0.694506
119,SNORD89,DOID:10283,0.328976
120,SNORD94,DOID:10283,0.328976
121,SNORD97,DOID:10283,0.328976
122,SNORD50A,DOID:10286,0.694506
123,snoRNAU50,DOID:10286,0.694506
124,SNORD43,DOID:1040,0.328976
125,SNORA16A,DOID:10534,0.694506
126,SNORA17A,DOID:10534,0.694506
127,SNORA17B,DOID:10534,0.694506
128,SNORA24,DOID:10534,0.694506
129,SNORA31,DOID:10534,0.694506
130,SNORA50C,DOID:10534,0.694506
131,SNORA58,DOID:10534,0.694506
132,SNORA61,DOID:10534,0.694506
133,SNORA73A,DOID:10534,0.694506
134,SNORA78,DOID:10534,0.328976
135,SNORA80A,DOID:10534,0.635617
136,SNORA9,DOID:10534,0.694506
137,SNORD10,DOID:10534,0.694506
138,SNORD101,DOID:10534,0.694506
139,SNORD102,DOID:10534,0.694506
140,SNORD103C,DOID:10534,0.694506
141,SNORD104,DOID:10534,0.694506
142,SNORD105,DOID:10534,0.694506
143,SNORD105B,DOID:10534,0.99998
144,SNORD11,DOID:10534,0.694506
145,SNORD110,DOID:10534,0.694506
146,SNORD111,DOID:10534,0.694506
147,SNORD113-3,DOID:10534,0.694506
148,SNORD113-6,DOID:10534,0.694506
149,SNORD113-7,DOID:10534,0.694506
150,SNORD113-8,DOID:10534,0.694506
151,SNORD114-1,DOID:10534,0.694506
152,SNORD114-12,DOID:10534,0.694506
153,SNORD114-13,DOID:10534,0.694506
154,SNORD114-14,DOID:10534,0.694506
155,SNORD114-15,DOID:10534,0.694506
156,SNORD114-17,DOID:10534,0.694506
157,SNORD114-20,DOID:10534,0.694506
158,SNORD114-21,DOID:10534,0.694506
159,SNORD114-22,DOID:10534,0.694506
160,SNORD114-23,DOID:10534,0.694506
161,SNORD114-25,DOID:10534,0.694506
162,SNORD114-26,DOID:10534,0.694506
163,SNORD114-28,DOID:10534,0.694506
164,SNORD114-29,DOID:10534,0.694506
165,SNORD114-3,DOID:10534,0.694506
166,SNORD114-5,DOID:10534,0.694506
167,SNORD114-9,DOID:10534,0.694506
168,SNORD115-2,DOID:10534,0.635617
169,SNORD115-28,DOID:10534,0.635617
170,SNORD116-1,DOID:10534,0.694506
171,SNORD116-16,DOID:10534,0.694506
172,SNORD116-2,DOID:10534,0.694506
173,SNORD116-20,DOID:10534,0.694506
174,SNORD116-21,DOID:10534,0.694506
175,SNORD116-25,DOID:10534,0.694506
176,SNORD116-3,DOID:10534,0.694506
177,SNORD117,DOID:10534,0.694506
178,SNORD119,DOID:10534,0.694506
179,SNORD12,DOID:10534,0.694506
180,SNORD121B,DOID:10534,0.694506
181,SNORD123,DOID:10534,0.694506
182,SNORD124,DOID:10534,0.694506
183,SNORD125,DOID:10534,0.694506
184,SNORD126,DOID:10534,0.694506
185,SNORD127,DOID:10534,0.694506
186,SNORD12B,DOID:10534,0.694506
187,SNORD12C,DOID:10534,0.694506
188,SNORD13,DOID:10534,0.694506
189,SNORD14A,DOID:10534,0.694506
190,SNORD14B,DOID:10534,0.968971
191,SNORD14C,DOID:10534,0.694506
192,SNORD14D,DOID:10534,0.694506
193,SNORD14E,DOID:10534,0.694506
194,SNORD15A,DOID:10534,0.694506
195,SNORD15B,DOID:10534,0.694506
196,SNORD16,DOID:10534,0.694506
197,SNORD18,DOID:10534,0.694506
198,SNORD18A,DOID:10534,0.694506
199,SNORD18B,DOID:10534,0.694506
200,SNORD18C,DOID:10534,0.694506
201,SNORD19,DOID:10534,0.694506
202,SNORD19B,DOID:10534,0.694506
203,SNORD1A,DOID:10534,0.694506
204,SNORD1B,DOID:10534,0.694506
205,SNORD1C,DOID:10534,0.694506
206,SNORD2,DOID:10534,0.694506
207,SNORD20,DOID:10534,0.694506
208,SNORD21,DOID:10534,0.694506
209,SNORD22,DOID:10534,0.694506
210,SNORD24,DOID:10534,0.694506
211,SNORD25,DOID:10534,0.694506
212,SNORD26,DOID:10534,0.90146
213,SNORD27,DOID:10534,0.694506
214,SNORD28,DOID:10534,0.694506
215,SNORD31,DOID:10534,0.694506
216,SNORD33,DOID:10534,0.694506
217,SNORD34,DOID:10534,0.694506
218,SNORD35A,DOID:10534,0.694506
219,SNORD35B,DOID:10534,0.694506
220,SNORD36,DOID:10534,0.694506
221,SNORD36A,DOID:10534,0.694506
222,SNORD36B,DOID:10534,0.694506
223,SNORD37,DOID:10534,0.694506
224,SNORD38A,DOID:10534,0.694506
225,SNORD38B,DOID:10534,0.694506
226,SNORD3A,DOID:10534,0.694506
227,SNORD3B-1,DOID:10534,0.694506
228,SNORD3B-2,DOID:10534,0.694506
229,SNORD3C,DOID:10534,0.694506
230,SNORD3D,DOID:10534,0.694506
231,SNORD3P3,DOID:10534,0.694506
232,SNORD41,DOID:10534,0.694506
233,SNORD42A,DOID:10534,0.694506
234,SNORD42B,DOID:10534,0.694506
235,SNORD43,DOID:10534,0.694506
236,SNORD44,DOID:10534,0.694506
237,SNORD45A,DOID:10534,0.694506
238,SNORD45C,DOID:10534,0.694506
239,SNORD46,DOID:10534,0.694506
240,SNORD47,DOID:10534,0.694506
241,SNORD48,DOID:10534,0.694506
242,SNORD49A,DOID:10534,0.694506
243,SNORD49B,DOID:10534,0.694506
244,SNORD4A,DOID:10534,0.694506
245,SNORD4B,DOID:10534,0.694506
246,SNORD5,DOID:10534,0.694506
247,SNORD50A,DOID:10534,0.694506
248,SNORD51,DOID:10534,0.694506
249,SNORD52,DOID:10534,0.694506
250,SNORD53,DOID:10534,0.694506
251,SNORD54,DOID:10534,0.694506
252,SNORD55,DOID:10534,0.694506
253,SNORD56,DOID:10534,0.694506
254,SNORD57,DOID:10534,0.694506
255,SNORD58,DOID:10534,0.694506
256,SNORD58A,DOID:10534,0.694506
257,SNORD58B,DOID:10534,0.694506
258,SNORD58C,DOID:10534,0.694506
259,SNORD59A,DOID:10534,0.694506
260,SNORD59B,DOID:10534,0.694506
261,SNORD6,DOID:10534,0.694506
262,SNORD60,DOID:10534,0.694506
263,SNORD61,DOID:10534,0.694506
264,SNORD62A,DOID:10534,0.694506
265,SNORD62B,DOID:10534,0.694506
266,SNORD63,DOID:10534,0.694506
267,SNORD65,DOID:10534,0.694506
268,SNORD66,DOID:10534,0.694506
269,SNORD67,DOID:10534,0.694506
270,SNORD7,DOID:10534,0.694506
271,SNORD70,DOID:10534,0.694506
272,SNORD72,DOID:10534,0.694506
273,SNORD73A,DOID:10534,0.694506
274,SNORD74,DOID:10534,0.694506
275,SNORD75,DOID:10534,0.694506
276,SNORD76,DOID:10534,0.694506
277,SNORD77,DOID:10534,0.694506
278,SNORD78,DOID:10534,0.694506
279,SNORD79,DOID:10534,0.694506
280,SNORD80,DOID:10534,0.694506
281,SNORD81,DOID:10534,0.694506
282,SNORD82,DOID:10534,0.694506
283,SNORD83A,DOID:10534,0.694506
284,SNORD83B,DOID:10534,0.694506
285,SNORD84,DOID:10534,0.694506
286,SNORD87,DOID:10534,0.694506
287,SNORD88A,DOID:10534,0.694506
288,SNORD88C,DOID:10534,0.694506
289,SNORD89,DOID:10534,0.694506
290,SNORD91B,DOID:10534,0.694506
291,SNORD92,DOID:10534,0.694506
